Date,Rented Bike Count,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
01/12/2017,254,0,-5.2000000000000002,37,2.2000000000000002,2000,-17.600000000000001,0,0,0,Winter,No Holiday,Yes
01/12/2017,204,1,-5.5,38,0.80000000000000004,2000,-17.600000000000001,0,0,0,Winter,No Holiday,Yes
01/12/2017,173,2,-6,39,1,2000,-17.699999999999999,0,0,0,Winter,No Holiday,Yes
01/12/2017,107,3,-6.2000000000000002,40,0.90000000000000002,2000,-17.600000000000001,0,0,0,Winter,No Holiday,Yes
01/12/2017,78,4,-6,36,2.2999999999999998,2000,-18.600000000000001,0,0,0,Winter,No Holiday,Yes
01/12/2017,100,5,-6.4000000000000004,37,1.5,2000,-18.699999999999999,0,0,0,Winter,No Holiday,Yes
01/12/2017,181,6,-6.5999999999999996,35,1.3,2000,-19.5,0,0,0,Winter,No Holiday,Yes
01/12/2017,460,7,-7.4000000000000004,38,0.90000000000000002,2000,-19.300000000000001,0,0,0,Winter,No Holiday,Yes
01/12/2017,930,8,-7.5999999999999996,37,1.1000000000000001,2000,-19.800000000000001,0.01,0,0,Winter,No Holiday,Yes
01/12/2017,490,9,-6.5,27,0.5,1928,-22.399999999999999,0.23000000000000001,0,0,Winter,No Holiday,Yes
01/12/2017,339,10,-3.5,24,1.2,1996,-21.199999999999999,0.65000000000000002,0,0,Winter,No Holiday,Yes
01/12/2017,360,11,-0.5,21,1.3,1936,-20.199999999999999,0.93999999999999995,0,0,Winter,No Holiday,Yes
01/12/2017,449,12,1.7,23,1.3999999999999999,2000,-17.199999999999999,1.1100000000000001,0,0,Winter,No Holiday,Yes
01/12/2017,451,13,2.3999999999999999,25,1.6000000000000001,2000,-15.6,1.1599999999999999,0,0,Winter,No Holiday,Yes
01/12/2017,447,14,3,26,2,2000,-14.6,1.01,0,0,Winter,No Holiday,Yes
01/12/2017,463,15,2.1000000000000001,36,3.2000000000000002,2000,-11.4,0.54000000000000004,0,0,Winter,No Holiday,Yes
01/12/2017,484,16,1.2,54,4.2000000000000002,793,-7,0.23999999999999999,0,0,Winter,No Holiday,Yes
01/12/2017,555,17,0.80000000000000004,58,1.6000000000000001,2000,-6.5,0.080000000000000002,0,0,Winter,No Holiday,Yes
01/12/2017,862,18,0.59999999999999998,66,1.3999999999999999,2000,-5,0,0,0,Winter,No Holiday,Yes
01/12/2017,600,19,0,77,1.7,2000,-3.5,0,0,0,Winter,No Holiday,Yes
01/12/2017,426,20,-0.29999999999999999,79,1.5,1913,-3.5,0,0,0,Winter,No Holiday,Yes
01/12/2017,405,21,-0.80000000000000004,81,0.80000000000000004,1687,-3.6000000000000001,0,0,0,Winter,No Holiday,Yes
01/12/2017,398,22,-0.90000000000000002,83,1.5,1380,-3.3999999999999999,0,0,0,Winter,No Holiday,Yes
01/12/2017,323,23,-1.3,84,1,1265,-3.6000000000000001,0,0,0,Winter,No Holiday,Yes
02/12/2017,328,0,-1.8,87,1.1000000000000001,994,-3.6000000000000001,0,0,0,Winter,No Holiday,Yes
